load_id,dispatch_date,payment_date,dispatch_days,buyer_name,destination,block_type,block_size,cubic_meters,price_per_m3,total_revenue,profit,payment_status,is_rainy_season,year
LOAD0059,2019-12-26,2019-12-25,1,Universal Stone Exports,China,Small Block High,200x100 Above,3.17,79470.81,251922.47,251922.47,Paid,False,2019
LOAD0061,2020-01-01,2019-12-31,1,Sri Vishnu Granites Pvt Ltd,India,Small Block Low,200x100 Below,2.66,66993.98,178203.99,178203.99,Paid,False,2020
LOAD0062,2020-02-27,2020-02-25,2,R P Granites,India,Big Block Low,240x140 Below,4.14,89624.28,371044.52,371044.52,Paid,False,2020
LOAD0063,2020-03-12,2020-03-09,3,R P Granites,China,Gangsaw,Large Slab,5.46,114458.86,624945.38,624945.38,Paid,False,2020
LOAD0064,2020-04-12,2020-04-09,3,Universal Stone Exports,UK,Big Block High,240x140 Above,4.04,101182.54,408777.46,408777.46,Paid,False,2020
LOAD0065,2020-05-08,2020-05-07,1,Sri Satya Surya Company,Poland,Big Block High,240x140 Above,4.68,98406.25,460541.25,460541.25,Paid,False,2020
LOAD0066,2020-09-26,2020-09-25,1,R P Granites,India,Big Block High,240x140 Above,4.63,103774.72,480476.95,480476.95,Paid,False,2020
LOAD0067,2020-10-25,2020-10-23,2,Sri Satya Surya Company,India,Small Block Low,200x100 Below,3.25,72147.84,234480.48,234480.48,Paid,False,2020
LOAD0069,2020-11-09,2020-11-07,2,R P Granites,UK,Gangsaw,Large Slab,5.03,109962.17,553109.72,553109.72,Paid,False,2020
LOAD0068,2020-11-18,2020-11-17,1,Samantula Granites and Marbles,India,Small Block Low,200x100 Below,2.74,71258.91,195249.41,195249.41,Paid,False,2020
LOAD0070,2020-12-27,2020-12-24,3,Sri Vishnu Granites Pvt Ltd,India,Gangsaw,Large Slab,4.55,115043.96,523450.02,523450.02,Paid,False,2020
LOAD0071,2021-01-07,2021-01-05,2,Samantula Granites and Marbles,China,Small Block High,200x100 Above,3.57,81054.7,289365.28,289365.28,Paid,False,2021
LOAD0073,2021-01-07,2021-01-06,1,R P Granites,Poland,Small Block Low,200x100 Below,2.99,66902.91,200039.7,200039.7,Paid,False,2021
LOAD0072,2021-01-12,2021-01-11,1,Sri Vishnu Granites Pvt Ltd,UK,Small Block High,200x100 Above,3.67,82019.0,301009.73,301009.73,Paid,False,2021
LOAD0074,2021-02-03,2021-01-31,3,Universal Stone Exports,USA,Small Block Low,200x100 Below,2.85,67319.47,191860.49,191860.49,Paid,False,2021
LOAD0076,2021-02-18,2021-02-15,3,R P Granites,USA,Big Block High,240x140 Above,4.15,100133.26,415553.03,415553.03,Paid,False,2021
LOAD0075,2021-02-26,2021-02-25,1,Sri Vishnu Granites Pvt Ltd,USA,Small Block Low,200x100 Below,3.34,69482.64,232072.02,232072.02,Paid,False,2021
LOAD0077,2021-03-01,2021-02-27,2,Sri Satya Surya Company,Poland,Small Block High,200x100 Above,3.24,83261.55,269767.42,269767.42,Paid,False,2021
LOAD0078,2021-03-06,2021-03-03,3,Universal Stone Exports,China,Big Block Low,240x140 Below,4.28,90525.64,387449.74,387449.74,Paid,False,2021
LOAD0080,2021-03-08,2021-03-07,1,Sri Vishnu Granites Pvt Ltd,USA,Gangsaw,Large Slab,5.24,111991.43,586835.09,586835.09,Paid,False,2021
LOAD0079,2021-03-19,2021-03-16,3,Sri Satya Surya Company,Poland,Big Block Low,240x140 Below,3.75,89146.82,334300.58,334300.58,Paid,False,2021
LOAD0082,2021-04-15,2021-04-14,1,Sri Satya Surya Company,Poland,Small Block Low,200x100 Below,3.49,67016.58,233887.86,233887.86,Paid,False,2021
LOAD0081,2021-04-17,2021-04-16,1,R P Granites,USA,Gangsaw,Large Slab,4.72,115095.45,543250.52,543250.52,Paid,False,2021
LOAD0083,2021-04-25,2021-04-23,2,United Universal Granites,India,Gangsaw,Large Slab,4.72,107739.43,508530.11,508530.11,Paid,False,2021
LOAD0086,2021-05-05,2021-05-04,1,Sri Vishnu Granites Pvt Ltd,Poland,Small Block High,200x100 Above,3.99,81585.29,325525.31,325525.31,Paid,False,2021
LOAD0085,2021-05-12,2021-05-11,1,Universal Stone Exports,China,Big Block High,240x140 Above,4.19,99636.98,417478.95,417478.95,Paid,False,2021
LOAD0084,2021-05-22,2021-05-19,3,United Universal Granites,USA,Gangsaw,Large Slab,5.42,115045.73,623547.86,623547.86,Paid,False,2021
LOAD0087,2021-06-21,2021-06-20,1,United Universal Granites,USA,Small Block High,200x100 Above,3.27,77065.48,252004.12,252004.12,Paid,True,2021
LOAD0088,2021-07-18,2021-07-15,3,Universal Stone Exports,India,Small Block Low,200x100 Below,3.11,69427.7,215920.15,215920.15,Paid,True,2021
LOAD0089,2021-08-27,2021-08-26,1,Sri Vishnu Granites Pvt Ltd,UK,Small Block Low,200x100 Below,2.53,69135.24,174912.16,174912.16,Paid,True,2021
LOAD0091,2021-09-01,2021-08-30,2,United Universal Granites,USA,Gangsaw,Large Slab,4.91,107507.48,527861.73,527861.73,Paid,False,2021
LOAD0090,2021-09-11,2021-09-10,1,R P Granites,UK,Big Block High,240x140 Above,4.38,104699.14,458582.23,458582.23,Paid,False,2021
LOAD0092,2021-09-17,2021-09-16,1,R P Granites,UK,Small Block Low,200x100 Below,3.5,70388.02,246358.07,246358.07,Paid,False,2021
LOAD0095,2021-10-08,2021-10-05,3,Universal Stone Exports,UK,Big Block High,240x140 Above,4.5,99762.11,448929.49,448929.49,Paid,False,2021
LOAD0093,2021-10-10,2021-10-08,2,Samantula Granites and Marbles,USA,Big Block Low,240x140 Below,3.75,89554.9,335830.88,335830.88,Paid,False,2021
LOAD0094,2021-10-13,2021-10-12,1,Sri Satya Surya Company,Poland,Small Block High,200x100 Above,3.23,81373.61,262836.76,262836.76,Paid,False,2021
LOAD0098,2021-11-06,2021-11-04,2,Universal Stone Exports,USA,Big Block High,240x140 Above,4.64,100548.16,466543.46,466543.46,Paid,False,2021
LOAD0096,2021-11-12,2021-11-11,1,R P Granites,China,Small Block High,200x100 Above,3.56,83013.23,295527.1,295527.1,Paid,False,2021
LOAD0097,2021-11-21,2021-11-19,2,Universal Stone Exports,Poland,Big Block High,240x140 Above,4.81,104031.51,500391.56,500391.56,Paid,False,2021
LOAD0100,2021-12-17,2021-12-16,1,Sri Satya Surya Company,China,Small Block Low,200x100 Below,2.65,72986.11,193413.19,193413.19,Paid,False,2021
LOAD0099,2021-12-20,2021-12-19,1,Samantula Granites and Marbles,Poland,Gangsaw,Large Slab,5.28,108861.97,574791.2,574791.2,Paid,False,2021
